metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Лесная', 'Выборгская', 'Петроградская'], 'Underground time': ['10', '21', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,Студия,21.9,13.9,3.0,2,2022,7900000
"{'Underground name': ['Проспект Славы', 'Международная', 'Ломоносовская'], 'Underground time': ['18', '24', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,51.9,28.7,7.0,7,1988,8700000
"{'Underground name': ['Проспект Просвещения', 'Парнас', 'Озерки'], 'Underground time': ['5', '4', '7'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,45.5,28.0,7.0,6,1979,7850000
"{'Underground name': ['Парнас', 'Озерки', 'Проспект Просвещения'], 'Underground time': ['14', '9', '9'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,34.0,10.3,16.6,12,2020,8000000
"{'Underground name': ['Проспект Большевиков', 'Улица Дыбенко', 'Новочеркасская'], 'Underground time': ['10', '4', '8'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,51.3,28.2,7.9,1,1994,8000000
"{'Underground name': ['Московские ворота', 'Электросила', 'Фрунзенская'], 'Underground time': ['6', '21', '23'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,59.4,32.3,8.7,4,1917,8550000
"{'Underground name': ['Комендантский проспект', 'Удельная', 'Озерки'], 'Underground time': ['5', '9', '9'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,42.4,23.4,14.0,2,2010,7900000
"{'Underground name': ['Елизаровская', 'Ломоносовская', 'Площадь Александра Невского'], 'Underground time': ['6', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",0,2-комнатная,56.3,23.3,18.7,6,2027,18213129
"{'Underground name': ['Черная речка', 'Пионерская', 'Выборгская'], 'Underground time': ['12', '15', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,30.0,17.5,5.7,3,1963,6690000
"{'Underground name': ['Пионерская', 'Комендантский проспект', 'Старая Деревня'], 'Underground time': ['11', '18', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,31.1,15.7,8.2,5,1974,5800000
